Primary Sector,Definition
Acetic Acid Plant,"A facility that produces acetic acid, a key industrial chemical used as a solvent and in manufacturing vinegar, plastics, and synthetic fibers."
Acetone Plant,"A facility that manufactures acetone, a volatile solvent widely used in pharmaceuticals, cosmetics, and chemical synthesis."
Acrylic Fiber Plant,"A production facility that manufactures acrylic fibers, synthetic textiles made from polyacrylonitrile used in clothing, carpets, and upholstery."
Acrylic Resin Plant,"A plant that produces acrylic resins, polymer materials used in coatings, adhesives, and sealants for industrial and consumer applications."
Acrylonitrile Butadiene Styrene (ABS) Plant,"A manufacturing facility that produces ABS, a thermoplastic polymer used in automotive parts, electronics housings, and consumer goods."
Acrylonitrile Plant,"A chemical plant that manufactures acrylonitrile, a monomer used in producing acrylic fibers, ABS plastic, and synthetic rubber."
Active Pharmaceutical Ingredients (API),A facility that synthesizes or extracts the biologically active components of pharmaceutical drugs used in medicinal formulations.
Adhesives and Sealants Plant,"A manufacturing plant producing bonding and sealing compounds for construction, automotive, packaging, and industrial applications."
Adipic Acid Plant,"A facility producing adipic acid, a key precursor for nylon-6,6 and polyurethane manufacturing, primarily used in textiles and plastics."
Administrative Building,"A building used for managing organizational, governmental, or corporate operations, housing offices and administrative personnel."
Agricultural Waste Management,"A facility or system dedicated to the collection, treatment, and disposal of waste generated from farming and agricultural activities."
Agriculture and Forestry Building,"Structures supporting agricultural production and forest management, including barns, storage units, and operational offices."
Air Separation Unit (ASU),"An industrial plant that separates atmospheric air into its primary components—oxygen, nitrogen, and argon—for industrial and medical use."
Aircraft Manufacturing Plant,"A large-scale manufacturing facility where commercial, military, or private aircraft are assembled, tested, and delivered."
Airport Runway,A paved or prepared strip of land at an airport used for the takeoff and landing of aircraft.
Airport Terminal,"The building at an airport where passengers board and disembark from flights and where ticketing, security, and transit services are provided."
Aluminium Plant,"A facility that smelts bauxite ore or refines alumina into aluminum metal for use in aerospace, construction, and packaging industries."
Ammonia Plant,"A chemical plant that manufactures ammonia via the Haber-Bosch process, primarily used in fertilizers, refrigerants, and chemical production."
Ammonium Nitrate Plant,"A facility producing ammonium nitrate, widely used as a nitrogen fertilizer in agriculture and as a component in explosives."
Ammonium Sulfate Plant,"A plant that produces ammonium sulfate fertilizer, a by-product of coking or caprolactam production, providing nitrogen and sulfur to soils."
Amusement Facility,"A recreational venue offering rides, games, entertainment attractions, or themed experiences for public enjoyment."
Aniline Plant,"A chemical plant that produces aniline, a key precursor for polyurethane foams, dyes, pharmaceuticals, and rubber chemicals."
Animal Shelter,"A facility providing temporary housing, care, and adoption services for homeless, stray, or abandoned animals."
Apron,"The paved area of an airport where aircraft are parked, loaded, unloaded, refueled, and undergo maintenance."
Armoury,"A secure facility used for the storage, maintenance, and distribution of weapons, ammunition, and military equipment."
Assembly Plant,"A manufacturing facility where components or parts are put together to produce finished goods such as vehicles, electronics, or machinery."
Athletic Track,A running track facility designed for track and field competitions and athletic training.
Automobile Manufacturing Unit,"A plant where motor vehicles are assembled from components including engines, chassis, and bodywork on a production line."
Barrack,A building or set of buildings used to house military personnel on a permanent or temporary basis.
Basic Metal,"A facility involved in the smelting and refining of common metals such as iron, steel, copper, and aluminum from raw ores."
Battery Anode Material Production Plant,"A facility manufacturing anode materials (e.g., graphite, silicon) used in the negative electrode of rechargeable battery cells."
Battery Casing and Packaging Production Plant,"A plant producing protective enclosures and packaging systems for battery cells, modules, and packs."
Battery Cathode Material Production Plant,"A facility manufacturing cathode active materials (e.g., NMC, LFP) used in the positive electrode of lithium-ion and other battery types."
Battery Electrolyte Production Plant,A plant producing liquid or solid electrolyte solutions that enable ion transport between the anode and cathode in battery cells.
Battery Energy Storage,"A system or facility that stores electrical energy in batteries for grid stabilization, renewable energy integration, or backup power."
Battery Management System (BMS) Manufacturing Plant,"A facility producing electronic systems that monitor, control, and protect battery packs from overcharging, overheating, and failure."
Battery Recycling Facility,"A plant that recovers valuable materials such as lithium, cobalt, and nickel from end-of-life batteries for reuse in new cells."
Battery Separator Production Plant,"A facility producing thin, porous membranes that electrically isolate the anode and cathode within a battery cell while allowing ion flow."
Benzene Plant,"A chemical plant that produces benzene, a fundamental aromatic hydrocarbon used as a precursor for plastics, resins, and synthetic fibers."
Berth,"A designated docking location at a port or marina where vessels can moor for loading, unloading, or berthing."
Beverage Manufacturing Facility,"A plant that produces alcoholic or non-alcoholic beverages including soft drinks, juices, beer, wine, and spirits."
Biodiesel Plants,"A facility that produces biodiesel fuel by chemically converting vegetable oils, animal fats, or recycled cooking oils through transesterification."
Bioethanol Plants,A facility that ferments and distills sugar or starch-based biomass crops to produce bioethanol for use as a transportation fuel or blend.
Biogas Plants,An anaerobic digestion facility that converts organic waste into biogas (methane and CO2) for energy generation and use as renewable fuel.
Biogas Power Plant,A power generation facility that combusts biogas produced from organic waste or biomass to generate electricity and heat.
